customer_id,customer_name,email,gender,age,membership_tier,loyalty_points,preferred_language,customer_segment,is_prime_user,home_city,home_state,country,total_order_count,gross_revenue,total_discount_amount,lifetime_value,average_order_value,total_units_purchased,product_categories_purchased,distinct_products_purchased,first_order_timestamp,last_order_timestamp,days_since_last_order,repeat_purchase_signal,customer_value_segment,web_event_count,session_count,purchase_intent_event_count,customer_conversion_rate_pct,avg_engagement_score,avg_purchase_probability,avg_cart_abandonment_probability
1,Inferred Customer 1,,Unknown,,Unknown,0,,Inferred Web Event Customer,False,Bally,Unknown,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,17,17,4,23.53,0.5496,0.5531,0.4809
10,Priya Rastogi,theodore28@example.com,,,Unknown,0,,Unknown,False,Shahjahanpur,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,18,18,5,27.78,0.4337,0.4144,0.5693
100,Wridesh Tank,vincentshenoy@example.net,,,Unknown,0,,Unknown,False,Phagwara,West Bengal,India,2,209912.08,0.00,209912.08,104956.04,24,4,4,2026-03-27 23:33:26,2026-03-27 23:33:26,69,True,High Value,16,16,4,25.00,0.5738,0.4735,0.3940
101,Udyati Mani,ethansathe@example.com,,,Unknown,0,,Unknown,False,Jaunpur,Himachal Pradesh,India,3,314198.44,0.00,314198.44,104732.81,27,6,8,2026-04-08 05:41:59,2026-05-02 04:14:40,33,True,High Value,15,15,4,26.67,0.5572,0.5104,0.5717
102,Tanmayi Mittal,leenasubramanian@example.org,,,Unknown,0,,Unknown,False,Khandwa,Tamil Nadu,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,4,4,1,25.00,0.4564,0.5391,0.6858
103,Chakrika Merchant,randhawaanvi@example.org,,,Unknown,0,,Unknown,False,Eluru,Odisha,India,6,1165718.85,0.00,1165718.85,194286.48,43,6,7,2026-03-14 22:37:56,2026-04-01 16:04:15,64,True,High Value,13,13,7,53.85,0.4343,0.4791,0.4777
104,Bhavini Karpe,theodore39@example.com,,,Unknown,0,,Unknown,False,Medininagar,Telangana,India,5,828106.80,0.00,828106.80,165621.36,51,3,2,2026-03-24 04:22:25,2026-03-24 04:22:25,72,True,High Value,15,15,3,20.00,0.5699,0.5759,0.3267
105,Dayamai Sastry,patlakaran@example.org,,,Unknown,0,,Unknown,False,Jalandhar,Rajasthan,India,1,68301.32,0.00,68301.32,68301.32,2,1,1,2026-05-08 02:35:44,2026-05-08 02:35:44,27,False,High Value,13,13,3,23.08,0.4222,0.4920,0.4862
106,Parth Iyer,jasmitwali@example.net,,,Unknown,0,,Unknown,False,Khammam,Telangana,India,1,11610.24,0.00,11610.24,11610.24,3,1,0,2026-03-27 12:16:36,2026-03-27 12:16:36,69,False,High Value,13,13,4,30.77,0.5762,0.3846,0.5284
107,Chakrika Nigam,sidhufaqid@example.org,,,Unknown,0,,Unknown,False,Dehradun,Himachal Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,3,21.43,0.5349,0.4651,0.6253
108,Gautam Rana,lallajatin@example.com,,,Unknown,0,,Unknown,False,Sikar,West Bengal,India,2,181079.80,0.00,181079.80,90539.90,35,4,6,2026-05-01 04:35:56,2026-05-01 04:35:56,34,True,High Value,21,21,4,19.05,0.5195,0.5071,0.4208
109,Kamya Chokshi,urishillabakshi@example.net,,,Unknown,0,,Unknown,False,Firozabad,Odisha,India,2,350912.83,0.00,350912.83,175456.42,6,2,1,2026-03-07 20:30:43,2026-05-13 18:21:10,22,True,High Value,20,20,7,35.00,0.4283,0.5035,0.5739
11,Michael Dutta,ybhatt@example.com,,,Unknown,0,,Unknown,False,Nashik,West Bengal,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,16,16,3,18.75,0.4886,0.5689,0.6010
110,Ucchal Mittal,idada@example.org,,,Unknown,0,,Unknown,False,Phagwara,Haryana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,20,20,4,20.00,0.4613,0.4152,0.5071
111,Gunbir Keer,lipikasetty@example.com,,,Unknown,0,,Unknown,False,Avadi,Meghalaya,India,2,194609.39,0.00,194609.39,97304.70,9,3,2,2026-03-17 06:18:15,2026-04-26 18:04:47,39,True,High Value,19,19,6,31.58,0.4752,0.4496,0.5431
112,Oeshi Chaudhary,rreddy@example.org,,,Unknown,0,,Unknown,False,Dharmavaram,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,17,17,7,41.18,0.5600,0.5959,0.4831
113,Warinder Patil,pillaijagrati@example.org,,,Unknown,0,,Unknown,False,Bellary,Manipur,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,15,15,5,33.33,0.6086,0.5212,0.3854
114,Suhani Chand,anshbedi@example.com,,,Unknown,0,,Unknown,False,Bally,Gujarat,India,1,52935.61,0.00,52935.61,52935.61,5,2,2,2026-04-28 17:30:04,2026-04-28 17:30:04,37,False,High Value,10,10,2,20.00,0.5342,0.5317,0.6916
115,Ekapad Johal,virajnarasimhan@example.org,,,Unknown,0,,Unknown,False,Cuttack,Uttar Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,13,13,4,30.77,0.5794,0.4468,0.5003
116,Kalpit Zachariah,owen10@example.org,,,Unknown,0,,Unknown,False,Bally,West Bengal,India,7,732964.50,0.00,732964.50,104709.21,38,6,7,2026-04-08 23:12:14,2026-05-10 18:19:01,25,True,High Value,18,18,10,55.56,0.4693,0.5047,0.4827
117,Ekiya Babu,alkaben@example.org,,,Unknown,0,,Unknown,False,Secunderabad,Uttar Pradesh,India,2,346501.14,0.00,346501.14,173250.57,9,3,2,2026-03-10 10:26:31,2026-03-10 10:26:31,86,True,High Value,17,17,4,23.53,0.5348,0.4878,0.5335
118,Vamakshi Sen,yochana91@example.com,,,Unknown,0,,Unknown,False,Hajipur,Bihar,India,5,233694.23,0.00,233694.23,46738.85,33,3,2,2026-03-13 01:48:32,2026-03-18 11:56:10,78,True,High Value,21,21,8,38.10,0.4907,0.5035,0.4242
119,Tara Balasubramanian,srinivasneelima@example.com,,,Unknown,0,,Unknown,False,Srikakulam,Arunachal Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,14,14,2,14.29,0.5260,0.4186,0.2939
12,Ishwar Yadav,harini14@example.com,,,Unknown,0,,Unknown,False,Dehri,Himachal Pradesh,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,12,12,4,33.33,0.4700,0.4937,0.5542
120,Ethan Buch,manbir12@example.com,,,Unknown,0,,Unknown,False,Pallavaram,Tamil Nadu,India,3,28773.03,0.00,28773.03,9591.01,22,3,3,2026-04-09 13:01:42,2026-04-09 13:01:42,56,True,High Value,18,18,4,22.22,0.4425,0.6470,0.5060
121,Sudiksha Tiwari,ychaudhary@example.net,,,Unknown,0,,Unknown,False,Eluru,Punjab,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,11,11,2,18.18,0.4341,0.4824,0.4949
122,Qushi Seth,odikanori@example.com,,,Unknown,0,,Unknown,False,Suryapet,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,10,10,3,30.00,0.4126,0.4753,0.4843
123,Dhriti Sane,aadhya52@example.net,,,Unknown,0,,Unknown,False,Vijayanagaram,Telangana,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,19,19,5,26.32,0.4810,0.5078,0.7191
124,Girik Sankaran,pradhankalpit@example.net,,,Unknown,0,,Unknown,False,Jabalpur,Assam,India,7,600598.59,0.00,600598.59,85799.80,66,7,12,2026-03-19 23:53:13,2026-05-09 09:56:22,26,True,High Value,18,18,10,55.56,0.4336,0.4991,0.5403
125,Jason Roy,pallavi04@example.net,,,Unknown,0,,Unknown,False,Dharmavaram,Nagaland,India,1,343515.95,0.00,343515.95,343515.95,10,2,2,2026-05-12 22:36:50,2026-05-12 22:36:50,23,False,High Value,13,13,2,15.38,0.5705,0.5459,0.5612
126,Mohammed Subramaniam,hritikpalla@example.net,,,Unknown,0,,Unknown,False,Nagercoil,Bihar,India,0,0.00,0.00,0.00,0.00,0,0,0,,,,False,No Purchase Yet,18,18,6,33.33,0.4294,0.5590,0.3688
127,Upkaar Sanghvi,lokeayush@example.org,,,Unknown,0,,Unknown,False,Raipur,Tripura,India,5,1588533.66,0.00,1588533.66,317706.73,40,4,5,2026-01-31 15:01:30,2026-03-27 01:30:00,69,True,High Value,18,18,7,38.89,0.4955,0.4276,0.5035
128,Abeer Golla,nandiniboase@example.org,,,Unknown,0,,Unknown,False,Tirupati,Karnataka,India,1,132263.70,0.00,132263.70,132263.70,5,1,0,2026-03-29 08:40:34,2026-03-29 08:40:34,67,False,High Value,17,17,7,41.18,0.4713,0.4026,0.5382
129,Krisha Saini,kom@example.com,,,Unknown,0,,Unknown,False,Mysore,Telangana,India,2,173199.88,0.00,173199.88,86599.94,14,5,4,2026-04-18 18:54:38,2026-05-01 00:02:50,34,True,High Value,18,18,8,44.44,0.4858,0.4069,0.6024
